cell_id,make,V_top,V_bottom,V_plateau,dV_total,n_points_ocv,gitt_n_pulses,mean_pulse_duration_s,dV_per_sqrt_t,GITT_tau_diff_s,GITT_tau_n,DCIR_R0_mOhm,DCIR_R0_n,HPPC_R0_mOhm,HPPC_R0_n,HPPC_R1_mOhm,HPPC_R1_n,capacity_Ah,capacity_chg_Ah,coulombic_efficiency_pct,duration_h,rpt_n_discharge_segments,self_disch_dV_per_day,self_disch_dsoc_per_day,self_disch_rest_duration_h,n_cycles,soh_first,soh_last,fade_pct,monotone_frac
0020,CALB,3.3108772099999997,2.6242470900000003,3.2366960000000002,0.6866301199999993,40160.0,49.0,360.04000000000815,-0.0018759980602132114,821.8008105200306,52.0,2.7296777664270784,1.0,3.0185289629652883,9.0,0.8969127343494595,9.0,36.11013945239473,36.73887570053944,98.28863503262983,22.061925277777778,7.0,-0.00161420587469555,0.0032284117493911,169.31433916666666,402,0.6380277777777779,0.4159583333333334,22.20694444444445,0.9152119700748129
0021,CALB,3.3104815600000004,2.74669372,3.265353,0.5637878400000003,56239.0,74.0,359.9780000000028,-0.0009090154011037516,867.2820990079692,105.0,1.2843728798679466,1.0,1.1532411507110474,9.0,0.6602247936133632,8.0,55.629947861255566,55.68174695946055,100.25620101653615,29.00183416666667,5.0,-0.0023734927161527244,0.004746985432305449,169.29221833333335,402,0.7611944444444444,0.43951388888888887,32.168055555555554,0.6583541147132169
0022,CALB,3.31281399,2.74630911,3.2629954999999997,0.5665048800000001,55452.0,74.0,360.059500000003,-0.0008779796273400895,868.4374678125863,99.0,1.4867654537552253,1.0,1.3383580883930006,9.0,0.7283561054409027,8.0,53.77838049662753,53.790699386619444,198.13090558632226,27.74696861111111,9.0,-0.0026252763453130283,0.005250552690626057,169.29178444444443,402,0.5935277777777778,0.39558333333333334,19.79444444444444,0.6034912718204489
0023,CALB,3.3125354000000002,2.74435195,3.264434,0.5681834500000003,56216.0,75.0,360.1130000000121,-0.0008483306104797742,863.1812284456676,104.0,1.2950649039633864,1.0,1.112863240677566,9.0,0.6239153257142562,7.0,55.403546604005,55.400461727042796,100.00556832355912,27.17090472222222,6.0,-0.00513554946292989,0.01027109892585978,169.2921016666667,402,0.6033611111111111,0.55225,5.111111111111111,0.6583541147132169
0024,CALB,3.3087168499999997,2.71776776,3.25673,0.5909490899999996,49034.0,64.0,360.10899999999674,-0.0008951643215376888,877.1505669927071,72.0,1.591162940780231,1.0,1.4969335339936378,9.0,0.7642642510876789,8.0,47.489507880485,47.47052973324252,146.2834188912897,25.723768055555556,7.0,-0.0015415998489881947,0.0030831996979763894,169.29220722222223,402,0.5083333333333333,0.4308472222222222,7.748611111111109,0.6807980049875312
0025,REPT,3.3254557000000005,2.8221442,3.265865,0.5033115000000006,145231.0,102.0,360.0689999999595,-0.0012917937003171073,832.3559178893538,216.0,1.0573766275263774,3.0,0.8931439840590818,18.0,0.23806375999837515,16.0,150.82897152845277,150.66884216093044,100.10627901908963,4449.998903888889,15.0,-0.0029218218325018654,0.005843643665003731,172.23857,210,0.6276533333333333,0.62146,0.6193333333333273,0.8851674641148325
0027,CALB,3.31295143,2.7435102000000002,3.2648615,0.5694412299999998,56578.0,72.0,360.01600000000326,-0.0009461284810799431,860.9941458636415,103.0,1.281087593634943,1.0,1.1219175289502556,9.0,0.6637011801654635,7.0,55.0715379991728,55.0727354952525,100.11696966064423,28.24238638888889,9.0,-0.0031204338500753505,0.006240867700150701,169.28552305555556,201,0.34679166666666666,0.4290833333333333,-8.229166666666664,0.585
0028,REPT,3.3311594000000007,2.82199102,3.26592,0.5091683800000006,70755.0,0.0,,,785.6437555705566,15.0,1.0209009677168532,1.0,0.8051987126918608,9.0,0.20959841616997496,7.0,146.9487897974172,146.98723420807724,99.97384506833728,34.72517305555556,5.0,-0.0047075048164948,0.0094150096329896,168.00746916666665,214,1.0051866666666667,0.9775866666666667,2.759999999999996,0.9906103286384976
0029,CALB,3.30088273,2.7183177300000003,3.252122,0.5825649999999998,48150.0,63.0,360.0020000000368,-0.0008445068844198954,873.2759439287555,67.0,1.660859977173198,1.0,1.5715584923735189,9.0,0.8620150972124843,9.0,46.67995623231777,46.51616256388666,159.40177654216774,25.268662499999998,7.0,-0.0011788365134500231,0.0023576730269000462,169.30467861111111,402,0.4865138888888889,0.3851527777777778,10.136111111111113,0.6508728179551122
0030,CALB,3.30640752,2.6767382,3.254593,0.6296693200000001,41165.0,54.0,359.99199999999837,-0.0008915088112875474,847.8309400436034,60.0,1.8933739967221752,1.0,1.7335033760804266,9.0,0.8762800075296336,9.0,39.39059884428694,40.061458721707496,98.32542324012519,23.800149722222223,8.0,-0.0009679153076033114,0.0019358306152066228,169.3045836111111,402,0.6586111111111111,0.5082083333333334,15.040277777777778,0.9650872817955112
