make,cell,batch,q_over_nameplate,v_top,v_bot,v_plat,monotone,r0_median,tau_median,self_disch_dsoc_per_day,n_flags,passes
REPT,0031,2,1.0107533333333334,3.564385,2.499989,3.258699,True,0.44987518159451084,,0.0092763407479236,3,False
REPT,0032,2,0.9953799999999999,3.56897,2.499992,3.267006,True,0.47554073970138505,,0.0079091119742164,3,False
REPT,0034,1,1.0033933333333331,3.45755,2.499991,3.2625953333333335,True,0.18117659490166776,775.8277531700015,0.0037784316684253,1,False
REPT,0034,2,0.9881333333333333,3.573895,2.500233,3.2643905,True,0.5049814642950993,,0.0073888997225432,2,False
REPT,0037,2,0.9877466666666667,3.571912,2.499991,3.2597435,True,1.200272905783515,,0.0067883724065423,2,False
REPT,0040,1,1.02204,3.481738,2.499995,3.267408,True,0.6006633149366993,799.6100332194787,0.0026693316027946,1,False
REPT,0040,2,0.9921,3.595164,2.500126,3.2604349999999998,True,0.5579293556953966,,0.0119679908976216,2,False
REPT,0043,1,1.0282,3.486079,2.500109,3.2665297499999997,True,0.6642783905374092,804.5884428549905,0.0012245137710415,0,True
REPT,0043,2,1.0028533333333334,3.585139,2.499991,3.26778,True,0.41710079486290796,,0.0100668909482454,3,False
REPT,0046,1,1.0248933333333334,3.490327,2.499996,3.267755666666667,True,0.5493963804672726,805.8749116653993,0.0008811726601068539,0,True
REPT,0046,2,1.02438,3.580213,2.499986,3.267608,True,0.5007021142486023,,0.0051990608453575,2,False
REPT,0049,1,0.9903666666666667,3.481265,2.499998,3.265122,True,0.57143589123951,806.7623197200332,0.0040161323296362,1,False
REPT,0049,2,0.9810266666666666,3.577952,2.499994,3.266687,True,0.40627329774585363,,0.0139155401322196,3,False
REPT,0050,1,0.97702,3.480955,2.50035,3.2629995000000003,True,0.4102999826636734,785.4788690034138,0.0035094178548296,1,False
REPT,0050,2,0.97326,3.583271,2.499993,3.2651577499999997,True,0.39007296387037715,,0.0118614477237377,3,False
REPT,0056,1,1.02002,3.473182,2.500023,3.267772,True,0.5585563677697594,799.5830719500027,0.0027578786082316,1,False
REPT,0056,2,1.0023866666666668,3.574811,2.499999,3.268433,True,0.4582212805655546,,0.0118133599847282,2,False
REPT,0057,1,0.97246,3.480118,2.499991,3.26337225,True,0.604663108850293,799.9001575290565,0.0013384520363646,0,True
REPT,0057,2,0.9586933333333334,3.583575,2.49999,3.2666815,True,0.5912643466172317,,0.004996539029441,1,False
REPT,0057,3,,,,,,,,,5,False
REPT,0065,1,1.0246600000000001,3.489321,2.50037,3.2613594999999997,True,0.367912881625135,807.3729054470946,0.0028196890526546,1,False
REPT,0065,2,0.9947733333333334,3.592662,2.50001,3.263346,True,0.4567008862820545,,0.0110130872604186,3,False
REPT,0065,3,,,,,,,,,5,False
REPT,0074,1,1.0233666666666665,3.484672,2.49999,3.261111,True,0.5211154857337675,810.8550302061923,0.0013057134658912,1,False
REPT,0074,2,0.99834,3.597507,2.499993,3.26400325,True,0.5181281882081802,,0.0102068776443411,3,False
REPT,0074,3,,,,,,,,,5,False
REPT,0078,1,1.0241533333333332,3.482917,2.499991,3.258674,True,0.508928537084676,813.9985235704286,0.001169926490225,0,True
REPT,0078,2,0.99692,3.596477,2.500224,3.2607416666666666,True,0.43428800229346975,,0.0092753437746463,2,False
REPT,0080,1,0.9857666666666667,3.47728,2.49999,3.2601195,True,0.5583975173511525,798.0934623573428,0.0027443077983701,0,True
REPT,0080,2,0.9992466666666666,3.574799,2.499998,3.2653851666666664,True,0.46755513414042127,,0.0069071978167541,3,False
